Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -3.06 [%/°C] , Reset Time = 1.99 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
        2.10   37.765286    90.98495       92.00       45.00
   2.1166667    37.74129   90.985604       92.00       45.00
   2.1333333   37.754634   90.998354       92.00       45.00
        2.15   37.717242   90.994556       92.00       45.00
   2.1666667   37.616739   90.970335       92.00       45.00
   2.1833333   37.632371   90.983953       92.00       45.00
        2.20   37.538322   90.961912       92.00       45.00
   2.2166667   37.505884   90.960022       92.00       45.00
   2.2333333   37.469084   90.956733       92.00       45.00
        2.25   37.344372   90.924981       92.00       45.00
   2.2666667   37.243668   90.901274       92.00       45.00
   2.2833333   37.177788   90.889048       92.00       45.00
        2.30   37.171754    90.89632       92.00       45.00
   2.3166667   37.192231   90.912123       92.00       45.00
   2.3333333   36.999488   90.858694       92.00       45.00
        2.35   37.101544   90.901248       92.00       45.00
   2.3666667   36.922775   90.852438       92.00       45.00
   2.3833333    36.86331   90.842697       92.00       45.00
        2.40   36.755064   90.817229       92.00       45.00
   2.4166667   36.772068   90.832563       92.00       45.00
   2.4333333   36.752058   90.835774       92.00       45.00
        2.45   36.735218   90.839987       92.00       45.00
   2.4666667   36.565899   90.794748       92.00       45.00
   2.4833333   36.492443   90.780952       92.00       45.00
        2.50   36.474611   90.785298       92.00       45.00
   2.5166667    36.44518   90.785849       92.00       45.00
   2.5333333   36.387096   90.777109       92.00       45.00
        2.55   36.269283   90.749085       92.00       45.00
   2.5666667   36.144573   90.719058       92.00       45.00
   2.5833333   36.201767   90.748233       92.00       45.00
        2.60    36.14887   90.741487       92.00       45.00
   2.6166667   36.080871   90.729902       92.00       45.00
   2.6333333   36.081107   90.740528       92.00       45.00
        2.65   35.990028   90.721471       92.00       45.00
   2.6666667   35.915879    90.70806       92.00       45.00
   2.6833333   35.951851   90.730448       92.00       45.00
        2.70    35.79824    90.69121       92.00       45.00
   2.7166667   35.840031   90.715624       92.00       45.00
   2.7333333   35.751857   90.697716       92.00       45.00
        2.75   35.597687   90.658568       92.00       45.00
   2.7666667   35.693852   90.700875       92.00       45.00
   2.7833333    35.59103   90.678342       92.00       45.00
        2.80   35.478795   90.652946       92.00       45.00
   2.8166667   35.424355   90.646491       92.00       45.00
   2.8333333   35.473186   90.673558       92.00       45.00
        2.85   35.414836   90.665665       92.00       45.00
   2.8666667   35.351149   90.656107       92.00       45.00
   2.8833333   35.297861       90.65       92.00       45.00
        2.90   35.163884   90.617793       92.00       45.00
   2.9166667   35.209046   90.643909       92.00       45.00
   2.9333333   35.102186   90.620541       92.00       45.00
        2.95   35.117574   90.636985       92.00       45.00
   2.9666667   34.989247   90.606717       92.00       45.00
   2.9833333   35.004774   90.623321       92.00       45.00
        3.00   34.939489   90.613598       92.00       45.00
   3.0166667   34.926831    90.62101       92.00       45.00
   3.0333333   34.869375   90.613843       92.00       45.00
        3.05   34.826388   90.611425       92.00       45.00
   3.0666667   34.763995   90.602737       92.00       45.00
   3.0833333   34.745721    90.60842       92.00       45.00
        3.10   34.639339   90.585502       92.00       45.00
   3.1166667    34.68152    90.61092       92.00       45.00
   3.1333333   34.625649    90.60435       92.00       45.00
        3.15   34.511962   90.579098       92.00       45.00
   3.1666667   34.541195   90.600374       92.00       45.00
   3.1833333   34.521662   90.605668       92.00       45.00
        3.20   34.583296   90.637224       92.00       45.00
   3.2166667   34.418326   90.595078       92.00       45.00
   3.2333333   34.363931   90.589119       92.00       45.00
        3.25   34.414927   90.617364       92.00       45.00
   3.2666667   34.289967    90.58835       92.00       45.00
   3.2833333    34.31769   90.609059       92.00       45.00
        3.30   34.308159   90.617523       92.00       45.00
   3.3166667   34.217632   90.599667       92.00       45.00
   3.3333333   34.152188   90.590088       92.00       45.00
        3.35   34.048607    90.56823       92.00       45.00
   3.3666667   34.155308   90.614702       92.00       45.00
   3.3833333   34.133567   90.619162       92.00       45.00
        3.40   34.076279   90.612064       92.00       45.00
   3.4166667   34.088905   90.627684       92.00       45.00
   3.4333333   33.979934   90.603766       92.00       45.00
        3.45   34.015504   90.626891       92.00       45.00
   3.4666667    33.92899   90.610257       92.00       45.00
   3.4833333   33.838975   90.592628       92.00       45.00
        3.50   33.760051   90.578739       92.00       45.00
   3.5166667   33.781199   90.597397       92.00       45.00
   3.5333333   33.751666   90.599475       92.00       45.00
        3.55    33.65356   90.579313       92.00       45.00
   3.5666667   33.732722   90.616768       92.00       45.00
   3.5833333   33.625215   90.593416       92.00       45.00
