Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  Manual Mode

  

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
        2.15       80.00   86.430531   86.430531       50.00
   2.1666667       80.00   86.407859   86.407859       50.00
   2.1833333       80.00   86.334678   86.334678       50.00
        2.20       80.00   86.316797   86.316797       50.00
   2.2166667       80.00    86.26649    86.26649       50.00
   2.2333333       80.00   86.189599   86.189599       50.00
        2.25       80.00   86.170209   86.170209       50.00
   2.2666667       80.00   86.122934   86.122934       50.00
   2.2833333       80.00    86.03376    86.03376       50.00
        2.30       80.00    85.99969    85.99969       50.00
   2.3166667       80.00   85.954163   85.954163       50.00
   2.3333333       80.00   85.926422   85.926422       50.00
        2.35       80.00   85.838791   85.838791       50.00
   2.3666667       80.00   85.814884   85.814884       50.00
   2.3833333       80.00   85.761488   85.761488       50.00
        2.40       80.00   85.750513   85.750513       50.00
   2.4166667       80.00   85.695261   85.695261       50.00
   2.4333333       80.00   85.620699   85.620699       50.00
        2.45       80.00   85.577613   85.577613       50.00
   2.4666667       80.00   85.536956   85.536956       50.00
   2.4833333       80.00   85.503386   85.503386       50.00
        2.50       80.00   85.446409   85.446409       50.00
   2.5166667       80.00   85.410866   85.410866       50.00
   2.5333333       80.00   85.376057   85.376057       50.00
        2.55       80.00   85.289242   85.289242       50.00
   2.5666667       80.00    85.23701    85.23701       50.00
   2.5833333       80.00   85.265769   85.265769       50.00
        2.60       80.00   85.203312   85.203312       50.00
   2.6166667       80.00     85.1445     85.1445       50.00
   2.6333333       80.00   85.111695   85.111695       50.00
        2.65       80.00   85.056302   85.056302       50.00
   2.6666667       80.00   84.971116   84.971116       50.00
   2.6833333       80.00   84.965449   84.965449       50.00
        2.70       80.00   84.913523   84.913523       50.00
   2.7166667       80.00    84.89241    84.89241       50.00
   2.7333333       80.00   84.857124   84.857124       50.00
        2.75       80.00   84.783139   84.783139       50.00
   2.7666667       80.00   84.747331   84.747331       50.00
   2.7833333       80.00   84.704762   84.704762       50.00
        2.80       80.00   84.662984   84.662984       50.00
   2.8166667       80.00   84.649854   84.649854       50.00
   2.8333333       80.00   84.603742   84.603742       50.00
        2.85       80.00   84.570319   84.570319       50.00
   2.8666667       80.00   84.530859   84.530859       50.00
   2.8833333       80.00    84.47963    84.47963       50.00
        2.90       80.00   84.461919   84.461919       50.00
   2.9166667       80.00   84.400674   84.400674       50.00
   2.9333333       80.00   84.402431   84.402431       50.00
        2.95       80.00   84.363915   84.363915       50.00
   2.9666667       80.00   84.272191   84.272191       50.00
   2.9833333       80.00   84.261714   84.261714       50.00
        3.00       80.00   84.232124   84.232124       50.00
   3.0166667       80.00   84.199369   84.199369       50.00
   3.0333333       80.00   84.181344   84.181344       50.00
        3.05       80.00   84.128709   84.128709       50.00
   3.0666667       80.00   84.128853   84.128853       50.00
   3.0833333       80.00   84.035677   84.035677       50.00
        3.10       80.00   84.022373   84.022373       50.00
   3.1166667       80.00   83.992484   83.992484       50.00
   3.1333333       80.00   83.967594   83.967594       50.00
        3.15       80.00   83.922207   83.922207       50.00
   3.1666667       80.00   83.912396   83.912396       50.00
   3.1833333       80.00   83.857137   83.857137       50.00
        3.20       80.00   83.792419   83.792419       50.00
   3.2166667       80.00   83.814874   83.814874       50.00
   3.2333333       80.00    83.76044    83.76044       50.00
        3.25       80.00   83.752624   83.752624       50.00
   3.2666667       80.00   83.710731   83.710731       50.00
   3.2833333       80.00    83.64971    83.64971       50.00
        3.30       80.00   83.632091   83.632091       50.00
   3.3166667       80.00   83.635928   83.635928       50.00
   3.3333333       80.00   83.592091   83.592091       50.00
        3.35       80.00   83.552207   83.552207       50.00
   3.3666667       80.00   83.577627   83.577627       50.00
   3.3833333       80.00   83.511586   83.511586       50.00
        3.40       80.00   83.460226   83.460226       50.00
   3.4166667       80.00   83.432558   83.432558       50.00
   3.4333333       80.00   83.396628   83.396628       50.00
        3.45       80.00   83.381842   83.381842       50.00
   3.4666667       80.00   83.393824   83.393824       50.00
   3.4833333       80.00   83.350067   83.350067       50.00
        3.50       80.00   83.279288   83.279288       50.00
   3.5166667       80.00   83.289928   83.289928       50.00
   3.5333333       80.00   83.238263   83.238263       50.00
        3.55       80.00   83.219065   83.219065       50.00
   3.5666667       80.00   83.213956   83.213956       50.00
   3.5833333       80.00   83.164662   83.164662       50.00
        3.60       80.00    83.13618    83.13618       50.00
   3.6166667       80.00   83.153129   83.153129       50.00
   3.6333333       80.00   83.120267   83.120267       50.00
        3.65       80.00   83.078267   83.078267       50.00
   3.6666667       80.00    83.07602    83.07602       50.00
   3.6833333       80.00   83.057453   83.057453       50.00
        3.70       80.00   83.010617   83.010617       50.00
   3.7166667       80.00    83.03155    83.03155       50.00
   3.7333333       80.00   82.943644   82.943644       50.00
        3.75       80.00   82.937331   82.937331       50.00
   3.7666667       80.00   82.917923   82.917923       50.00
   3.7833333       80.00   82.905649   82.905649       50.00
        3.80       80.00   82.896101   82.896101       50.00
   3.8166667       80.00   82.872586   82.872586       50.00
   3.8333333       80.00   82.847447   82.847447       50.00
        3.85       80.00   82.825405   82.825405       50.00
   3.8666667       80.00    82.80981    82.80981       50.00
   3.8833333       80.00   82.798994   82.798994       50.00
        3.90       80.00   82.775002   82.775002       50.00
   3.9166667       80.00   82.742686   82.742686       50.00
   3.9333333       80.00   82.745193   82.745193       50.00
        3.95       80.00   82.716006   82.716006       50.00
   3.9666667       80.00    82.66624    82.66624       50.00
   3.9833333       80.00   82.657035   82.657035       50.00
        4.00       80.00   82.672873   82.672873       50.00
   4.0166667       80.00   82.629167   82.629167       50.00
   4.0333333       80.00   82.621964   82.621964       50.00
        4.05       80.00   82.629252   82.629252       50.00
   4.0666667       80.00   82.560896   82.560896       50.00
   4.0833333       80.00   82.566828   82.566828       50.00
        4.10       80.00   82.567216   82.567216       50.00
   4.1166667       80.00   82.506002   82.506002       50.00
   4.1333333       80.00   82.509397   82.509397       50.00
        4.15       80.00   82.473219   82.473219       50.00
   4.1666667       80.00   82.465435   82.465435       50.00
   4.1833333       80.00   82.467523   82.467523       50.00
        4.20       80.00   82.452599   82.452599       50.00
   4.2166667       80.00    82.44097    82.44097       50.00
   4.2333333       80.00   82.404292   82.404292       50.00
        4.25       80.00   82.404752   82.404752       50.00
   4.2666667       80.00    82.37465    82.37465       50.00
   4.2833333       80.00   82.351162   82.351162       50.00
        4.30       80.00   82.367825   82.367825       50.00
   4.3166667       80.00   82.352932   82.352932       50.00
   4.3333333       80.00   82.347126   82.347126       50.00
        4.35       80.00   82.325598   82.325598       50.00
   4.3666667       80.00   82.277759   82.277759       50.00
   4.3833333       80.00   82.286888   82.286888       50.00
        4.40       80.00   82.253799   82.253799       50.00
   4.4166667       80.00   82.284643   82.284643       50.00
   4.4333333       80.00   82.282319   82.282319       50.00
        4.45       80.00   82.213779   82.213779       50.00
   4.4666667       80.00   82.235931   82.235931       50.00
   4.4833333       80.00   82.202568   82.202568       50.00
        4.50       80.00   82.223466   82.223466       50.00
   4.5166667       80.00   82.195802   82.195802       50.00
   4.5333333       80.00   82.202078   82.202078       50.00
        4.55       80.00   82.201855   82.201855       50.00
   4.5666667       80.00   82.187811   82.187811       50.00
   4.5833333       80.00   82.192578   82.192578       50.00
        4.60       80.00    82.12959    82.12959       50.00
   4.6166667       80.00   82.140421   82.140421       50.00
   4.6333333       80.00   82.122729   82.122729       50.00
        4.65       80.00   82.109554   82.109554       50.00
   4.6666667       80.00   82.115278   82.115278       50.00
   4.6833333       80.00   82.125127   82.125127       50.00
        4.70       80.00   82.068206   82.068206       50.00
   4.7166667       80.00   82.082068   82.082068       50.00
   4.7333333       80.00   82.064408   82.064408       50.00
        4.75       80.00   82.094252   82.094252       50.00
   4.7666667       80.00   82.052491   82.052491       50.00
   4.7833333       80.00   82.069979   82.069979       50.00
        4.80       80.00   82.041764   82.041764       50.00
   4.8166667       80.00   82.006073   82.006073       50.00
   4.8333333       80.00   82.004651   82.004651       50.00
        4.85       80.00   82.010418   82.010418       50.00
   4.8666667       80.00    82.01868    82.01868       50.00
   4.8833333       80.00   82.007117   82.007117       50.00
        4.90       80.00   82.016025   82.016025       50.00
   4.9166667       80.00   82.015957   82.015957       50.00
   4.9333333       80.00   81.965741   81.965741       50.00
        4.95       80.00   81.957441   81.957441       50.00
   4.9666667       80.00   81.965173   81.965173       50.00
   4.9833333       80.00   81.973479   81.973479       50.00
        5.00       80.00   81.941127   81.941127       50.00
   5.0166667       80.00   81.951494   81.951494       50.00
   5.0333333       80.00   81.942196   81.942196       50.00
        5.05       80.00   81.957829   81.957829       50.00
   5.0666667       80.00   81.924483   81.924483       50.00
   5.0833333       80.00    81.93159    81.93159       50.00
        5.10       80.00   81.911201   81.911201       50.00
   5.1166667       80.00   81.944659   81.944659       50.00
   5.1333333       80.00   81.908426   81.908426       50.00
        5.15       80.00    81.90521    81.90521       50.00
   5.1666667       80.00   81.909399   81.909399       50.00
   5.1833333       80.00   81.909643   81.909643       50.00
        5.20       80.00   81.933365   81.933365       50.00
   5.2166667       80.00     81.8702     81.8702       50.00
   5.2333333       80.00   81.886652   81.886652       50.00
        5.25       80.00   81.896978   81.896978       50.00
   5.2666667       80.00   81.906882   81.906882       50.00
   5.2833333       80.00   81.877544   81.877544       50.00
        5.30       80.00   81.881741   81.881741       50.00
   5.3166667       80.00   81.882886   81.882886       50.00
   5.3333333       80.00   81.841707   81.841707       50.00
        5.35       80.00    81.86305    81.86305       50.00
   5.3666667       80.00   81.850052   81.850052       50.00
   5.3833333       80.00   81.839873   81.839873       50.00
        5.40       80.00   81.866104   81.866104       50.00
   5.4166667       80.00   81.821869   81.821869       50.00
   5.4333333       80.00   81.846394   81.846394       50.00
        5.45       80.00   81.856621   81.856621       50.00
   5.4666667       80.00   81.816089   81.816089       50.00
   5.4833333       80.00   81.865952   81.865952       50.00
        5.50       80.00   81.873944   81.873944       50.00
   5.5166667       80.00   81.846406   81.846406       50.00
   5.5333333       80.00   81.863897   81.863897       50.00
        5.55       80.00   81.803402   81.803402       50.00
   5.5666667       80.00    81.83124    81.83124       50.00
   5.5833333       80.00    81.84329    81.84329       50.00
        5.60       80.00    81.84544    81.84544       50.00
   5.6166667       80.00   81.848846   81.848846       50.00
   5.6333333       80.00    81.81623    81.81623       50.00
        5.65       80.00   81.832653   81.832653       50.00
   5.6666667       80.00   81.818487   81.818487       50.00
   5.6833333       80.00   81.841481   81.841481       50.00
        5.70       80.00   81.845941   81.845941       50.00
   5.7166667       80.00   81.822123   81.822123       50.00
   5.7333333       80.00   81.855566   81.855566       50.00
        5.75       80.00   81.820277   81.820277       50.00
   5.7666667       80.00   81.794553   81.794553       50.00
   5.7833333       80.00    81.83298    81.83298       50.00
        5.80       80.00   81.814185   81.814185       50.00
   5.8166667       80.00   81.866793   81.866793       50.00
   5.8333333       80.00   81.839161   81.839161       50.00
        5.85       80.00   81.840244   81.840244       50.00
   5.8666667       80.00   81.834489   81.834489       50.00
   5.8833333       80.00     81.8247     81.8247       50.00
        5.90       80.00     81.8292     81.8292       50.00
   5.9166667       80.00   81.810599   81.810599       50.00
   5.9333333       80.00   81.851895   81.851895       50.00
        5.95       80.00   81.856596   81.856596       50.00
   5.9666667       80.00    81.84709    81.84709       50.00
   5.9833333       80.00    81.84636    81.84636       50.00
        6.00       80.00   81.844496   81.844496       50.00
   6.0166667       80.00   81.805077   81.805077       50.00
   6.0333333       80.00   81.826175   81.826175       50.00
        6.05       80.00   81.869429   81.869429       50.00
   6.0666667       80.00   81.860987   81.860987       50.00
   6.0833333       80.00   81.878796   81.878796       50.00
        6.10       80.00   81.827974   81.827974       50.00
   6.1166667       80.00   81.848234   81.848234       50.00
   6.1333333       80.00   81.870256   81.870256       50.00
        6.15       80.00   81.840557   81.840557       50.00
   6.1666667       80.00   81.877108   81.877108       50.00
   6.1833333       80.00   81.908143   81.908143       50.00
        6.20       80.00   81.866293   81.866293       50.00
   6.2166667       80.00   81.874255   81.874255       50.00
   6.2333333       80.00   81.893986   81.893986       50.00
        6.25       80.00   81.879376   81.879376       50.00
   6.2666667       80.00     81.8748     81.8748       50.00
   6.2833333       80.00   81.856802   81.856802       50.00
        6.30       80.00   81.875702   81.875702       50.00
   6.3166667       80.00   81.887006   81.887006       50.00
   6.3333333       80.00    81.88222    81.88222       50.00
        6.35       80.00   81.893118   81.893118       50.00
   6.3666667       80.00   81.913336   81.913336       50.00
   6.3833333       80.00   81.874128   81.874128       50.00
        6.40       80.00   81.898956   81.898956       50.00
   6.4166667       80.00   81.897188   81.897188       50.00
   6.4333333       80.00   81.890533   81.890533       50.00
        6.45       80.00   81.886288   81.886288       50.00
   6.4666667       80.00   81.881718   81.881718       50.00
   6.4833333       80.00   81.887777   81.887777       50.00
        6.50       80.00   81.898885   81.898885       50.00
   6.5166667       80.00   81.898323   81.898323       50.00
   6.5333333       80.00   81.894233   81.894233       50.00
        6.55       80.00   81.932491   81.932491       50.00
   6.5666667       80.00    81.95325    81.95325       50.00
   6.5833333       80.00   81.918954   81.918954       50.00
        6.60       80.00   81.938662   81.938662       50.00
   6.6166667       80.00    81.91945    81.91945       50.00
   6.6333333       80.00   81.940774   81.940774       50.00
        6.65       80.00   81.943066   81.943066       50.00
   6.6666667       80.00    81.94279    81.94279       50.00
   6.6833333       80.00   81.978615   81.978615       50.00
        6.70       80.00   81.953975   81.953975       50.00
   6.7166667       80.00    81.96539    81.96539       50.00
   6.7333333       80.00   81.979006   81.979006       50.00
        6.75       80.00   81.982407   81.982407       50.00
   6.7666667       80.00   81.981341   81.981341       50.00
   6.7833333       80.00   81.959091   81.959091       50.00
        6.80       80.00   81.988537   81.988537       50.00
   6.8166667       80.00   81.966409   81.966409       50.00
   6.8333333       80.00   81.988944   81.988944       50.00
        6.85       80.00   82.021677   82.021677       50.00
   6.8666667       80.00   81.997633   81.997633       50.00
   6.8833333       80.00   82.028536   82.028536       50.00
        6.90       80.00   82.001459   82.001459       50.00
   6.9166667       80.00   81.987816   81.987816       50.00
   6.9333333       80.00   82.013485   82.013485       50.00
        6.95       80.00   82.028314   82.028314       50.00
   6.9666667       80.00   81.999248   81.999248       50.00
   6.9833333       80.00   81.981742   81.981742       50.00
        7.00       80.00   82.027891   82.027891       50.00
   7.0166667       80.00   82.028525   82.028525       50.00
   7.0333333       80.00   82.028887   82.028887       50.00
        7.05       80.00   82.024878   82.024878       50.00
   7.0666667       80.00   82.045518   82.045518       50.00
   7.0833333       80.00   82.054534   82.054534       50.00
        7.10       80.00   82.040882   82.040882       50.00
   7.1166667       80.00    82.06841    82.06841       50.00
   7.1333333       80.00   82.077157   82.077157       50.00
        7.15       80.00   82.064018   82.064018       50.00
   7.1666667       80.00   82.069331   82.069331       50.00
   7.1833333       80.00   82.071566   82.071566       50.00
        7.20       80.00   82.079061   82.079061       50.00
   7.2166667       80.00   82.075945   82.075945       50.00
   7.2333333       80.00   82.089119   82.089119       50.00
        7.25       80.00    82.10084    82.10084       50.00
   7.2666667       80.00   82.085392   82.085392       50.00
   7.2833333       80.00   82.119318   82.119318       50.00
        7.30       80.00   82.104995   82.104995       50.00
   7.3166667       80.00   82.093082   82.093082       50.00
   7.3333333       80.00   82.129836   82.129836       50.00
        7.35       80.00   82.093446   82.093446       50.00
   7.3666667       80.00   82.133244   82.133244       50.00
   7.3833333       80.00   82.105489   82.105489       50.00
        7.40       80.00   82.131564   82.131564       50.00
   7.4166667       80.00   82.096822   82.096822       50.00
   7.4333333       80.00   82.154607   82.154607       50.00
        7.45       80.00   82.126665   82.126665       50.00
   7.4666667       80.00    82.13866    82.13866       50.00
   7.4833333       80.00   82.150767   82.150767       50.00
        7.50       80.00   82.138583   82.138583       50.00
   7.5166667       80.00   82.120455   82.120455       50.00
   7.5333333       80.00   82.126141   82.126141       50.00
        7.55       80.00   82.125437   82.125437       50.00
   7.5666667       80.00   82.145356   82.145356       50.00
   7.5833333       80.00   82.173176   82.173176       50.00
        7.60       80.00   82.139361   82.139361       50.00
   7.6166667       80.00   82.190245   82.190245       50.00
   7.6333333       80.00   82.205918   82.205918       50.00
        7.65       80.00   82.176915   82.176915       50.00
   7.6666667       80.00   82.200123   82.200123       50.00
   7.6833333       80.00   82.184341   82.184341       50.00
        7.70       80.00   82.200537   82.200537       50.00
   7.7166667       80.00   82.190625   82.190625       50.00
   7.7333333       80.00     82.2306     82.2306       50.00
        7.75       80.00   82.198283   82.198283       50.00
   7.7666667       80.00   82.178867   82.178867       50.00
   7.7833333       80.00   82.209635   82.209635       50.00
        7.80       80.00    82.21362    82.21362       50.00
   7.8166667       80.00   82.224409   82.224409       50.00
   7.8333333       80.00   82.238947   82.238947       50.00
        7.85       80.00   82.200878   82.200878       50.00
   7.8666667       80.00   82.216548   82.216548       50.00
   7.8833333       80.00   82.226861   82.226861       50.00
        7.90       80.00   82.239356   82.239356       50.00
   7.9166667       80.00   82.243523   82.243523       50.00
   7.9333333       80.00   82.252697   82.252697       50.00
        7.95       80.00   82.244595   82.244595       50.00
   7.9666667       80.00   82.272012   82.272012       50.00
   7.9833333       80.00   82.249742   82.249742       50.00
        8.00       80.00   82.268679   82.268679       50.00
   8.0166667       80.00   82.269215   82.269215       50.00
   8.0333333       80.00   82.289119   82.289119       50.00
        8.05       80.00   82.280454   82.280454       50.00
   8.0666667       80.00   82.275623   82.275623       50.00
   8.0833333       80.00   82.272593   82.272593       50.00
        8.10       80.00   82.291908   82.291908       50.00
   8.1166667       80.00   82.303688   82.303688       50.00
   8.1333333       80.00   82.304798   82.304798       50.00
        8.15       80.00    82.28677    82.28677       50.00
   8.1666667       80.00   82.275477   82.275477       50.00
   8.1833333       80.00   82.304347   82.304347       50.00
        8.20       80.00   82.285344   82.285344       50.00
   8.2166667       80.00   82.328747   82.328747       50.00
   8.2333333       80.00   82.278966   82.278966       50.00
        8.25       80.00   82.301285   82.301285       50.00
   8.2666667       80.00   82.302939   82.302939       50.00
   8.2833333       80.00   82.295573   82.295573       50.00
        8.30       80.00   82.332916   82.332916       50.00
   8.3166667       80.00   82.361778   82.361778       50.00
   8.3333333       80.00   82.315814   82.315814       50.00
        8.35       80.00   82.358495   82.358495       50.00
   8.3666667       80.00   82.328327   82.328327       50.00
   8.3833333       80.00   82.321907   82.321907       50.00
        8.40       80.00   82.312485   82.312485       50.00
   8.4166667       80.00   82.338083   82.338083       50.00
   8.4333333       80.00   82.361916   82.361916       50.00
        8.45       80.00   82.333919   82.333919       50.00
   8.4666667       80.00   82.361635   82.361635       50.00
   8.4833333       80.00   82.370465   82.370465       50.00
        8.50       80.00    82.38958    82.38958       50.00
   8.5166667       80.00   82.342902   82.342902       50.00
   8.5333333       80.00   82.331071   82.331071       50.00
        8.55       80.00   82.333843   82.333843       50.00
   8.5666667       80.00   82.400102   82.400102       50.00
   8.5833333       80.00   82.359258   82.359258       50.00
        8.60       80.00   82.386288   82.386288       50.00
   8.6166667       80.00   82.384138   82.384138       50.00
   8.6333333       80.00   82.363857   82.363857       50.00
        8.65       80.00   82.387192   82.387192       50.00
   8.6666667       80.00   82.396336   82.396336       50.00
   8.6833333       80.00   82.392831   82.392831       50.00
        8.70       80.00   82.395137   82.395137       50.00
