Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -4.0 [%/°C] , Reset Time = 4.0 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
        2.10   67.131605   85.005462       85.00       50.00
   2.1166667   67.145651   85.008937       85.00       50.00
   2.1333333    67.07515   84.991348       85.00       50.00
        2.15   67.099684   84.997492       85.00       50.00
   2.1666667   67.103701   84.998502       85.00       50.00
   2.1833333   66.945496   84.959121       85.00       50.00
        2.20   67.042532   84.983449       85.00       50.00
   2.2166667   66.997359   84.972271       85.00       50.00
   2.2333333   67.097555   84.997331       85.00       50.00
        2.25   67.176535   85.017005       85.00       50.00
   2.2666667   67.149759   85.010269       85.00       50.00
   2.2833333   67.002057   84.973454       85.00       50.00
        2.30   67.096988   84.997198       85.00       50.00
   2.3166667   67.092332   84.996051       85.00       50.00
   2.3333333   67.019586   84.977956       85.00       50.00
        2.35   67.192306   85.021049       85.00       50.00
   2.3666667   67.126492   85.004576       85.00       50.00
   2.3833333   67.163273   85.013714       85.00       50.00
        2.40   66.995295   84.971837       85.00       50.00
   2.4166667   67.117731   85.002436       85.00       50.00
   2.4333333   67.129176   85.005275       85.00       50.00
        2.45   67.161627   85.013332       85.00       50.00
   2.4666667    67.19298   85.021083       85.00       50.00
   2.4833333   67.010627   84.975596       85.00       50.00
        2.50   67.255294    85.03661       85.00       50.00
   2.5166667   67.063289   84.988656       85.00       50.00
   2.5333333   67.193276   85.021065       85.00       50.00
        2.55   67.050228   84.985364       85.00       50.00
   2.5666667    67.03341   84.981238       85.00       50.00
   2.5833333   66.980871   84.968236       85.00       50.00
        2.60   67.143081   85.008751       85.00       50.00
   2.6166667   67.183291   85.018726       85.00       50.00
   2.6333333    67.01529   84.976822       85.00       50.00
        2.65   67.008267    84.97517       85.00       50.00
   2.6666667   67.176727   85.017213       85.00       50.00
Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  Manual Mode

  

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   2.6833333       67.10   84.993871   84.993871       50.00
        2.70       67.10   85.006486   85.006486       50.00
   2.7166667       67.10    84.99737    84.99737       50.00
   2.7333333       67.10   84.989901   84.989901       50.00
        2.75       67.10   84.983413   84.983413       50.00
   2.7666667       67.10   84.984796   84.984796       50.00
   2.7833333       67.10   85.024551   85.024551       50.00
        2.80       67.10   85.002238   85.002238       50.00
   2.8166667       67.10   85.008672   85.008672       50.00
   2.8333333       67.10   84.997161   84.997161       50.00
        2.85       67.10   84.995096   84.995096       50.00
   2.8666667       67.10   84.991656   84.991656       50.00
   2.8833333       67.10   84.992551   84.992551       50.00
        2.90       67.10   85.004007   85.004007       50.00
   2.9166667       67.10   85.016584   85.016584       50.00
   2.9333333       67.10   84.970578   84.970578       50.00
        2.95       67.10   85.003401   85.003401       50.00
   2.9666667       67.10   84.975211   84.975211       50.00
   2.9833333       67.10   84.994035   84.994035       50.00
        3.00       67.10      85.013      85.013       50.00
   3.0166667       67.10   84.994115   84.994115       50.00
   3.0333333       67.10   84.997329   84.997329       50.00
        3.05       67.10   84.985769   84.985769       50.00
   3.0666667       67.10   84.988068   84.988068       50.00
   3.0833333       67.10    85.04017    85.04017       50.00
        3.10       67.10   84.978328   84.978328       50.00
   3.1166667       67.10   85.007367   85.007367       50.00
   3.1333333       67.10   84.985166   84.985166       50.00
        3.15       67.10   85.011064   85.011064       50.00
   3.1666667       67.10   84.994508   84.994508       50.00
   3.1833333       67.10   85.000635   85.000635       50.00
        3.20       67.10    84.98888    84.98888       50.00
   3.2166667       67.10    84.97065    84.97065       50.00
   3.2333333       67.10   85.007835   85.007835       50.00
        3.25       67.10   85.008021   85.008021       50.00
   3.2666667       67.10   85.000394   85.000394       50.00
   3.2833333       67.10   85.012783   85.012783       50.00
        3.30       67.10   85.017135   85.017135       50.00
   3.3166667       67.10   84.995909   84.995909       50.00
   3.3333333       67.10   84.980712   84.980712       50.00
        3.35       67.10   84.986484   84.986484       50.00
   3.3666667       67.10   85.015123   85.015123       50.00
   3.3833333       67.10   84.993968   84.993968       50.00
        3.40       67.10   84.998226   84.998226       50.00
   3.4166667       67.10   84.968173   84.968173       50.00
   3.4333333       67.10   85.007427   85.007427       50.00
        3.45       67.10   85.019492   85.019492       50.00
   3.4666667       67.10   85.006758   85.006758       50.00
   3.4833333       67.10    84.99588    84.99588       50.00
        3.50       67.10   84.982652   84.982652       50.00
   3.5166667       67.10   84.986233   84.986233       50.00
   3.5333333       67.10   85.022058   85.022058       50.00
        3.55       67.10   84.996645   84.996645       50.00
   3.5666667       67.10   84.990575   84.990575       50.00
   3.5833333       67.10   85.010934   85.010934       50.00
        3.60       67.10   84.983395   84.983395       50.00
   3.6166667       67.10    85.00583    85.00583       50.00
   3.6333333       67.10   85.016748   85.016748       50.00
        3.65       67.10   85.000279   85.000279       50.00
   3.6666667       67.10   85.003438   85.003438       50.00
   3.6833333       67.10   84.983289   84.983289       50.00
        3.70       67.10   85.000679   85.000679       50.00
   3.7166667       67.10   84.996985   84.996985       50.00
   3.7333333       67.10   84.988398   84.988398       50.00
        3.75       67.10    84.97197    84.97197       50.00
   3.7666667       67.10   85.002033   85.002033       50.00
   3.7833333       67.10   85.002898   85.002898       50.00
        3.80       67.10   85.005656   85.005656       50.00
   3.8166667       67.10   84.993303   84.993303       50.00
   3.8333333       67.10   84.998215   84.998215       50.00
        3.85       67.10   84.995455   84.995455       50.00
   3.8666667       67.10   85.013343   85.013343       50.00
   3.8833333       67.10   84.997965   84.997965       50.00
        3.90       67.10   85.011939   85.011939       50.00
   3.9166667       67.10   85.017938   85.017938       50.00
   3.9333333       67.10   84.975862   84.975862       50.00
        3.95       67.10   85.022717   85.022717       50.00
   3.9666667       67.10   84.986525   84.986525       50.00
   3.9833333       67.10   85.015035   85.015035       50.00
        4.00       67.10    85.01366    85.01366       50.00
   4.0166667       67.10   85.033497   85.033497       50.00
   4.0333333       67.10   85.028959   85.028959       50.00
        4.05       67.10   85.004429   85.004429       50.00
   4.0666667       67.10   85.001843   85.001843       50.00
   4.0833333       67.10   84.982094   84.982094       50.00
        4.10       67.10   84.997919   84.997919       50.00
   4.1166667       67.10   84.986006   84.986006       50.00
   4.1333333       67.10   84.974867   84.974867       50.00
        4.15       67.10   84.976466   84.976466       50.00
   4.1666667       67.10   84.984308   84.984308       50.00
   4.1833333       67.10   85.002302   85.002302       50.00
        4.20       67.10   85.040433   85.040433       50.00
   4.2166667       67.10   85.009527   85.009527       50.00
   4.2333333       67.10   85.010163   85.010163       50.00
        4.25       67.10   84.997956   84.997956       50.00
   4.2666667       67.10   84.988096   84.988096       50.00
   4.2833333       67.10   84.989466   84.989466       50.00
        4.30       67.10   85.004144   85.004144       50.00
   4.3166667       67.10   84.975656   84.975656       50.00
   4.3333333       67.10      84.989      84.989       50.00
        4.35       67.10    84.97859    84.97859       50.00
   4.3666667       67.10   84.986063   84.986063       50.00
   4.3833333       67.10   85.021963   85.021963       50.00
        4.40       67.10   85.003321   85.003321       50.00
   4.4166667       67.10   85.002955   85.002955       50.00
   4.4333333       67.10   84.988192   84.988192       50.00
        4.45       67.10   84.988947   84.988947       50.00
   4.4666667       67.10   84.996819   84.996819       50.00
   4.4833333       67.10   84.986447   84.986447       50.00
        4.50       67.10   85.003343   85.003343       50.00
   4.5166667       67.10   84.998033   84.998033       50.00
   4.5333333       67.10   84.968638   84.968638       50.00
        4.55       67.10   85.020361   85.020361       50.00
   4.5666667       67.10   85.009426   85.009426       50.00
   4.5833333       67.10   85.000036   85.000036       50.00
        4.60       67.10   85.022981   85.022981       50.00
   4.6166667       67.10   84.998868   84.998868       50.00
   4.6333333       67.10    85.03063    85.03063       50.00
        4.65       67.10   84.997406   84.997406       50.00
   4.6666667       67.10   85.023506   85.023506       50.00
